 ,Open,High,Low,Close,Volume,OpenInt
2008-07-30,14007.32031,14322.66992,14002.19043,14287.20996,26000,0
2008-07-31,14359.48047,14369.41992,14161.75977,14355.75,27800,0
2008-08-01,14064.25977,14682.33008,14032.87012,14656.69043,40200,0
2008-08-04,14594.63965,14725.94043,14503.50977,14577.87012,24800,0
2008-08-05,14562.67969,14986.62988,14529.20996,14961.07031,35600,0
2008-08-06,15263.65039,15422.82031,15035.59961,15073.54004,32600,0
2008-08-07,15031.86035,15280.05957,14992.96973,15117.25,25800,0
2008-08-08,15036.57031,15228.82031,14888.12012,15167.82031,21000,0
2008-08-11,15430.30957,15520.70996,15367.96973,15503.91992,26200,0
2008-08-12,15577.2002,15579.78027,15124.91016,15212.12988,27000,0
2008-08-13,15030.20996,15272.55957,15013.05957,15093.12012,19200,0
2008-08-14,15017.67969,15033.28027,14686.66016,14724.17969,22000,0
2008-08-18,14681.13965,14824.91992,14600.65039,14645.66016,19600,0
2008-08-19,14517.75977,14604.11035,14368.71973,14543.73047,17600,0
2008-08-20,14610.57031,14746.2002,14584.03027,14678.23047,18400,0
2008-08-21,14646.98047,14646.98047,14201.17969,14243.73047,19400,0
2008-08-22,14153.38965,14428.51953,14136.86035,14401.49023,20400,0
2008-08-25,14643.37012,14672.69043,14416.2002,14450.34961,17000,0
2008-08-26,14338.26953,14495.26953,14286.37988,14482.21973,18800,0
2008-08-27,14563.09961,14563.09961,14261.69043,14296.79004,15600,0
2008-08-28,14289.96973,14347.19043,14002.42969,14048.33984,18800,0
2008-08-29,14279.01953,14586.16016,14279.01953,14564.53027,32400,0
2008-09-01,14412.99023,14547.41016,14281.09961,14498.50977,14800,0
2008-09-02,14609.44043,15106.15039,14543.20996,15049.86035,25700,0
2008-09-04,14895.84961,14994.15039,14766.00977,14899.09961,19800,0
2008-09-05,14569.00977,14601.38965,14438.58984,14483.83008,23200,0
2008-09-08,15038.05957,15107.00977,14917.05957,14944.96973,23400,0
2008-09-09,14814.33008,14998.32031,14714.91992,14900.75977,19800,0
2008-09-10,14717.53027,14866.32031,14609.83008,14662.61035,22800,0
2008-09-11,14557.33008,14557.33008,14265.37988,14324.29004,22800,0
2008-09-12,14433.2002,14433.2002,13933.87012,14000.80957,26800,0
2008-09-15,13592.04981,13592.04981,13150.80957,13531.26953,24000,0
2008-09-16,13051.73047,13556.03027,13051.73047,13518.79981,33600,0
2008-09-17,13620.74023,13620.74023,13127.95996,13262.90039,30400,0
2008-09-18,12712.82031,13346.79004,12558.13965,13315.59961,48000,0
2008-09-19,13763.83008,14097.44043,13674.95996,14042.32031,47400,0
2008-09-22,14215.33008,14215.33008,13917.48047,13994.95996,35800,0
2008-09-23,13721.41992,13978.25977,13543.46973,13570.30957,29600,0
2008-09-24,13636.70996,13840.80957,13592.79004,13692.51953,40200,0
2008-09-25,13716.87988,13716.87988,13430.67969,13547.17969,36600,0
2008-09-26,13486.2002,13486.2002,13054.41992,13102.17969,29000,0
2008-09-29,13109.95996,13109.95996,12402.83984,12595.75,37000,0
2008-09-30,12178.17969,12995.2002,12153.54981,12860.42969,38400,0
2008-10-01,13006.71973,13203.86035,12697.29981,13055.66992,32400,0
2008-10-03,12851.46973,13001.19043,12472.61035,12526.32031,37200,0
2008-10-06,12284.49023,12284.49023,11732.96973,11801.7002,33000,0
2008-10-07,12068.11035,12181.08008,11501.84961,11695.24023,40400,0
2008-10-08,11316.24023,11405.73047,10740.75977,11328.36035,66200,0
2008-10-10,10632.26953,10904.12988,10239.75977,10527.84961,62400,0
2008-10-13,10817.67969,11361.32031,10817.67969,11309.08984,43800,0
2008-10-14,11781.42969,11870.21973,11410.49023,11483.40039,36000,0
2008-10-15,11245.26953,11257.15039,10760.33008,10809.12012,34800,0
2008-10-16,10221.53027,10787.2002,10017.79981,10581.49023,51600,0
2008-10-17,10763.33984,10786.92969,9911.320313,9975.349609,47400,0
2008-10-20,10160.46973,10538.04981,10023.28027,10223.08984,35400,0
